CustomerID,Gender,WinLossRatio,NumberActiveGames,Tenure,NumberGameActive,Platform,PaymentMethod,MonthlySpend,TotalSpend,Churn
7590-VHVEG,Female,0.829653429,No,1,1,Facebook,Electronic check,29.85,29.85,No
5575-GNVDE,Male,0.073376812,No,34,2,GoogleAds,Mailed check,56.95,1889.5,No
3668-QPYBK,Male,0.902178529,No,2,2,Facebook,Mailed check,53.85,108.15,Yes
7795-CFOCW,Male,0.713525669,No,45,1,GoogleAds,Bank transfer (automatic),42.3,1840.75,No
9237-HQITU,Female,0.632192969,No,2,2,Facebook,Electronic check,70.7,151.65,Yes
9305-CDSKC,Female,0.674068879,No,8,4,Facebook,Electronic check,99.65,820.5,Yes
1452-KIOVK,Male,0.294068045,Yes,22,4,Facebook,Credit card (automatic),89.1,1949.4,No
6713-OKOMC,Female,0.486299309,No,10,1,Facebook,Mailed check,29.75,301.9,No
7892-POOKP,Female,0.728415717,No,28,4,Facebook,Electronic check,104.8,3046.05,Yes
6388-TABGU,Male,0.213309052,Yes,62,2,GoogleAds,Bank transfer (automatic),56.15,3487.95,No
9763-GRSKD,Male,0.958922456,Yes,13,2,Facebook,Mailed check,49.95,587.45,No
7469-LKBCI,Male,0.32736391,No,16,2,Instagram,Credit card (automatic),18.95,326.8,No
8091-TTVAX,Male,0.678734497,No,58,4,GoogleAds,Credit card (automatic),100.35,5681.1,No
0280-XJGEX,Male,0.607377134,No,49,4,Facebook,Bank transfer (automatic),103.7,5036.3,Yes
5129-JLPIS,Male,0.960193032,No,25,2,Facebook,Electronic check,105.5,2686.05,No
3655-SNQYZ,Female,0.34435699,Yes,69,4,Instagram,Credit card (automatic),113.25,7895.15,No
8191-XWSZG,Female,0.657631054,No,52,2,GoogleAds,Mailed check,20.65,1022.95,No
9959-WOFKT,Male,0.012545171,Yes,71,4,Instagram,Bank transfer (automatic),106.7,7382.25,No
4190-MFLUW,Female,0.650079715,Yes,10,2,Facebook,Credit card (automatic),55.2,528.35,Yes
4183-MYFRB,Female,0.937315602,No,21,2,Facebook,Electronic check,90.05,1862.9,No
8779-QRDMV,Male,0.323989133,No,1,1,Facebook,Electronic check,39.65,39.65,Yes
1680-VDCWW,Male,0.707566586,No,12,2,GoogleAds,Bank transfer (automatic),19.8,202.25,No
1066-JKSGK,Male,0.9926842,No,1,2,Facebook,Mailed check,20.15,20.15,Yes
3638-WEABW,Female,0.570765754,No,58,4,Instagram,Credit card (automatic),59.9,3505.1,No
6322-HRPFA,Male,0.938416237,Yes,49,2,Facebook,Credit card (automatic),59.6,2970.3,No
6865-JZNKO,Female,0.764536138,No,30,2,Facebook,Bank transfer (automatic),55.3,1530.6,No
6467-CHFZW,Male,0.756325204,Yes,47,4,Facebook,Electronic check,99.35,4749.15,Yes
8665-UTDHZ,Male,0.596125039,Yes,1,1,Facebook,Electronic check,30.2,30.2,Yes
5248-YGIJN,Male,0.386005821,No,72,4,Instagram,Credit card (automatic),90.25,6369.45,No
8773-HHUOZ,Female,0.534612615,Yes,17,2,Facebook,Mailed check,64.7,1093.1,Yes
3841-NFECX,Female,0.022895618,No,71,4,Instagram,Credit card (automatic),96.35,6766.95,No
4929-XIHVW,Male,0.961862264,No,2,2,Facebook,Credit card (automatic),95.5,181.65,No
6827-IEAUQ,Female,0.602651214,Yes,27,2,GoogleAds,Mailed check,66.15,1874.45,No
7310-EGVHZ,Male,0.514073241,No,1,2,Facebook,Bank transfer (automatic),20.2,20.2,No
3413-BMNZE,Male,0.30087803,No,1,2,Facebook,Bank transfer (automatic),45.25,45.25,No
6234-RAAPL,Female,0.392293877,Yes,72,4,Instagram,Bank transfer (automatic),99.9,7251.7,No
6047-YHPVI,Male,0.315727182,No,5,2,Facebook,Electronic check,69.7,316.9,Yes
6572-ADKRS,Female,0.961425802,No,46,2,Facebook,Credit card (automatic),74.8,3548.3,No
5380-WJKOV,Male,0.554735217,No,34,4,Facebook,Electronic check,106.35,3549.25,Yes
8168-UQWWF,Female,0.540035493,No,11,4,Facebook,Bank transfer (automatic),97.85,1105.4,Yes
8865-TNMNX,Male,0.078460655,Yes,10,2,GoogleAds,Mailed check,49.55,475.7,No
9489-DEDVP,Female,0.73686702,Yes,70,4,Instagram,Credit card (automatic),69.2,4872.35,No
9867-JCZSP,Female,0.714750781,Yes,17,2,GoogleAds,Mailed check,20.75,418.25,No
4671-VJLCL,Female,0.705777914,No,63,4,Instagram,Credit card (automatic),79.85,4861.45,No
4080-IIARD,Female,0.876821101,No,13,4,Facebook,Electronic check,76.2,981.45,No
3714-NTNFO,Female,0.901167925,No,49,4,Facebook,Electronic check,84.5,3906.7,No
5948-UJZLF,Male,0.193397466,No,2,2,Facebook,Mailed check,49.25,97,No
7760-OYPDY,Female,0.318837686,No,2,2,Facebook,Electronic check,80.65,144.15,Yes
7639-LIAYI,Male,0.656440648,No,52,4,Instagram,Credit card (automatic),79.75,4217.8,No
2954-PIBKO,Female,0.232237975,Yes,69,4,Instagram,Credit card (automatic),64.15,4254.1,No
8012-SOUDQ,Female,0.799726247,No,43,4,Facebook,Electronic check,90.25,3838.75,No
9420-LOJKX,Female,0.801489185,No,15,2,Facebook,Credit card (automatic),99.1,1426.4,Yes
6575-SUVOI,Female,0.029629219,No,25,4,Facebook,Credit card (automatic),69.5,1752.65,No
7495-OOKFY,Female,0.017525035,No,8,4,Facebook,Credit card (automatic),80.65,633.3,Yes
4667-QONEA,Female,0.028116249,Yes,60,2,GoogleAds,Credit card (automatic),74.85,4456.35,No
1658-BYGOY,Male,0.436034824,No,18,4,Facebook,Electronic check,95.45,1752.55,Yes
8769-KKTPH,Female,0.530786962,Yes,63,4,GoogleAds,Credit card (automatic),99.65,6311.2,No
5067-XJQFU,Male,0.955933674,Yes,66,4,GoogleAds,Electronic check,108.45,7076.35,No
3957-SQXML,Female,0.921792856,Yes,34,4,Instagram,Credit card (automatic),24.95,894.3,No
5954-BDFSG,Female,0.622561887,No,72,4,Instagram,Credit card (automatic),107.5,7853.7,No
0434-CSFON,Female,0.679572079,No,47,4,Facebook,Electronic check,100.5,4707.1,No
1215-FIGMP,Male,0.719290798,No,60,4,Facebook,Bank transfer (automatic),89.9,5450.7,No
0526-SXDJP,Male,0.086199831,No,72,1,Instagram,Bank transfer (automatic),42.1,2962,No
0557-ASKVU,Female,0.862575458,Yes,18,2,GoogleAds,Credit card (automatic),54.4,957.1,No
5698-BQJOH,Female,0.751874093,No,9,4,Facebook,Electronic check,94.4,857.25,Yes
5122-CYFXA,Female,0.459891039,No,3,2,Facebook,Electronic check,75.3,244.1,No
8627-ZYGSZ,Male,0.993323539,No,47,4,GoogleAds,Electronic check,78.9,3650.35,No
3410-YOQBQ,Female,0.244603606,No,31,2,Instagram,Mailed check,79.2,2497.2,No
