CustomerID,Gender,WinLossRatio,Tenure,NumberActiveGames,Platform,PaymentMethod,MonthlySpend,TimeWindow,Churn
7590-VHVEG,Female,0.285633929,1,1,Facebook,Electronic check,335.0083752,202207-202209,No
5575-GNVDE,Male,0.946232065,34,2,GoogleAds,Mailed check,175.5926251,202207-202209,No
3668-QPYBK,Male,0.25939157,2,2,Facebook,Mailed check,185.7010214,202207-202209,Yes
7795-CFOCW,Male,0.733868353,45,1,GoogleAds,Bank transfer (automatic),236.4066194,202207-202209,No
9237-HQITU,Female,0.621853771,2,2,Facebook,Electronic check,141.4427157,202207-202209,Yes
9305-CDSKC,Female,0.901666951,8,4,Facebook,Electronic check,100.3512293,202207-202209,Yes
1452-KIOVK,Male,0.226611046,22,4,Facebook,Credit card (automatic),112.2334456,202207-202209,No
6713-OKOMC,Female,0.513478661,10,1,Facebook,Mailed check,336.1344538,202207-202209,No
7892-POOKP,Female,0.134535718,28,4,Facebook,Electronic check,95.41984733,202207-202209,Yes
6388-TABGU,Male,0.291383038,62,2,GoogleAds,Bank transfer (automatic),178.09439,202207-202209,No
9763-GRSKD,Male,0.681172846,13,2,Facebook,Mailed check,200.2002002,202207-202209,No
7469-LKBCI,Male,0.249169757,16,2,Instagram,Credit card (automatic),527.7044855,202207-202209,No
8091-TTVAX,Male,0.174144118,58,4,GoogleAds,Credit card (automatic),99.65122073,202207-202209,No
0280-XJGEX,Male,0.701680148,49,4,Facebook,Bank transfer (automatic),96.43201543,202207-202209,Yes
5129-JLPIS,Male,0.291968154,25,2,Facebook,Electronic check,94.78672986,202207-202209,No
3655-SNQYZ,Female,0.438199892,69,4,Instagram,Credit card (automatic),88.30022075,202207-202209,No
8191-XWSZG,Female,0.516531094,52,2,GoogleAds,Mailed check,484.2615012,202207-202209,No
9959-WOFKT,Male,0.541567221,71,4,Instagram,Bank transfer (automatic),93.72071228,202207-202209,No
4190-MFLUW,Female,0.399527863,10,2,Facebook,Credit card (automatic),181.1594203,202207-202209,Yes
4183-MYFRB,Female,0.630242159,21,2,Facebook,Electronic check,111.049417,202207-202209,No
8779-QRDMV,Male,0.740535623,1,1,Facebook,Electronic check,252.2068096,202207-202209,Yes
1680-VDCWW,Male,0.322393508,12,2,GoogleAds,Bank transfer (automatic),505.0505051,202207-202209,No
1066-JKSGK,Male,0.331025086,1,2,Facebook,Mailed check,496.2779156,202207-202209,Yes
3638-WEABW,Female,0.918072809,58,4,Instagram,Credit card (automatic),166.9449082,202207-202209,No
6322-HRPFA,Male,0.484366204,49,2,Facebook,Credit card (automatic),167.7852349,202207-202209,No
6865-JZNKO,Female,0.949428973,30,2,Facebook,Bank transfer (automatic),180.8318264,202207-202209,No
6467-CHFZW,Male,0.340788399,47,4,Facebook,Electronic check,100.6542526,202207-202209,Yes
8665-UTDHZ,Male,0.724505632,1,1,Facebook,Electronic check,331.1258278,202207-202209,Yes
5248-YGIJN,Male,0.964897943,72,4,Instagram,Credit card (automatic),110.8033241,202207-202209,No
8773-HHUOZ,Female,0.282540986,17,2,Facebook,Mailed check,154.5595054,202207-202209,Yes
3841-NFECX,Female,0.802207544,71,4,Instagram,Credit card (automatic),103.7882719,202207-202209,No
4929-XIHVW,Male,0.042465126,2,2,Facebook,Credit card (automatic),104.7120419,202207-202209,No
6827-IEAUQ,Female,0.825133292,27,2,GoogleAds,Mailed check,151.1715797,202207-202209,No
7310-EGVHZ,Male,0.008455328,1,2,Facebook,Bank transfer (automatic),495.049505,202207-202209,No
3413-BMNZE,Male,0.434577063,1,2,Facebook,Bank transfer (automatic),220.9944751,202207-202209,No
6234-RAAPL,Female,0.005505403,72,4,Instagram,Bank transfer (automatic),100.1001001,202207-202209,No
6047-YHPVI,Male,0.016749987,5,2,Facebook,Electronic check,143.472023,202207-202209,Yes
6572-ADKRS,Female,0.564987051,46,2,Facebook,Credit card (automatic),133.6898396,202207-202209,No
5380-WJKOV,Male,0.847680289,34,4,Facebook,Electronic check,94.02914904,202207-202209,Yes
8168-UQWWF,Female,0.857973592,11,4,Facebook,Bank transfer (automatic),102.1972407,202207-202209,Yes
8865-TNMNX,Male,0.605660776,10,2,GoogleAds,Mailed check,201.8163471,202207-202209,No
9489-DEDVP,Female,0.568829042,70,4,Instagram,Credit card (automatic),144.5086705,202207-202209,No
9867-JCZSP,Female,0.492089279,17,2,GoogleAds,Mailed check,481.9277108,202207-202209,No
4671-VJLCL,Female,0.383676086,63,4,Instagram,Credit card (automatic),125.2348153,202207-202209,No
4080-IIARD,Female,0.547281424,13,4,Facebook,Electronic check,131.2335958,202207-202209,No
3714-NTNFO,Female,0.937426358,49,4,Facebook,Electronic check,118.3431953,202207-202209,No
5948-UJZLF,Male,0.359624455,2,2,Facebook,Mailed check,203.0456853,202207-202209,No
7760-OYPDY,Female,0.023293127,2,2,Facebook,Electronic check,123.9925604,202207-202209,Yes
7639-LIAYI,Male,0.804366071,52,4,Instagram,Credit card (automatic),125.3918495,202207-202209,No
2954-PIBKO,Female,0.957413735,69,4,Instagram,Credit card (automatic),155.8846454,202207-202209,No
8012-SOUDQ,Female,0.928664973,43,4,Facebook,Electronic check,110.8033241,202207-202209,No
9420-LOJKX,Female,0.564947163,15,2,Facebook,Credit card (automatic),100.9081736,202207-202209,Yes
6575-SUVOI,Female,0.104861619,25,4,Facebook,Credit card (automatic),143.8848921,202207-202209,No
7495-OOKFY,Female,0.57563293,8,4,Facebook,Credit card (automatic),123.9925604,202207-202209,Yes
4667-QONEA,Female,0.495818469,60,2,GoogleAds,Credit card (automatic),133.6005344,202207-202209,No
1658-BYGOY,Male,0.866678454,18,4,Facebook,Electronic check,104.7668937,202207-202209,Yes
8769-KKTPH,Female,0.726712663,63,4,GoogleAds,Credit card (automatic),100.3512293,202207-202209,No
5067-XJQFU,Male,0.617562222,66,4,GoogleAds,Electronic check,92.20839096,202207-202209,No
3957-SQXML,Female,0.570214315,34,4,Instagram,Credit card (automatic),400.8016032,202207-202209,No
5954-BDFSG,Female,0.317614224,72,4,Instagram,Credit card (automatic),93.02325581,202207-202209,No
0434-CSFON,Female,0.282844556,47,4,Facebook,Electronic check,99.50248756,202207-202209,No
1215-FIGMP,Male,0.183534516,60,4,Facebook,Bank transfer (automatic),111.2347052,202207-202209,No
0526-SXDJP,Male,0.345579444,72,1,Instagram,Bank transfer (automatic),237.5296912,202207-202209,No
0557-ASKVU,Female,0.312360294,18,2,GoogleAds,Credit card (automatic),183.8235294,202207-202209,No
5698-BQJOH,Female,0.657668938,9,4,Facebook,Electronic check,105.9322034,202207-202209,Yes
5122-CYFXA,Female,0.264983264,3,2,Facebook,Electronic check,132.8021248,202207-202209,No
8627-ZYGSZ,Male,0.604180131,47,4,GoogleAds,Electronic check,126.7427123,202207-202209,No
3410-YOQBQ,Female,0.694142586,31,2,Instagram,Mailed check,126.2626263,202207-202209,No
3170-NMYVV,Female,0.095296645,50,2,Instagram,Bank transfer (automatic),496.2779156,202207-202209,No
7410-OIEDU,Male,0.215117864,10,2,Facebook,Mailed check,125.2348153,202207-202209,No
2273-QCKXA,Male,0.352916929,1,2,Facebook,Mailed check,203.8735984,202207-202209,No
0731-EBJQB,Female,0.212229014,52,2,GoogleAds,Electronic check,490.1960784,202207-202209,No
1891-QRQSA,Male,0.926812998,64,4,Instagram,Bank transfer (automatic),89.60573477,202207-202209,No
8028-PNXHQ,Male,0.129852256,62,4,Instagram,Bank transfer (automatic),412.371134,202207-202209,No
5630-AHZIL,Female,0.000923953,3,2,Facebook,Bank transfer (automatic),155.0387597,202207-202209,No
2673-CXQEU,Female,0.359506127,56,4,GoogleAds,Electronic check,90.49773756,202207-202209,No
6416-JNVRK,Female,0.505767494,46,2,GoogleAds,Credit card (automatic),179.6945193,202207-202209,No
5590-ZSKRV,Female,0.34290551,8,2,Facebook,Mailed check,182.9826167,202207-202209,No
0191-ZHSKZ,Male,0.055800021,30,2,Facebook,Electronic check,133.7792642,202207-202209,No
3887-PBQAO,Female,0.572480025,45,4,GoogleAds,Credit card (automatic),386.1003861,202207-202209,No
5919-TMRGD,Female,0.391369938,1,2,Facebook,Electronic check,126.0239445,202207-202209,Yes
8108-UXRQN,Female,0.104190651,11,1,Facebook,Electronic check,197.8239367,202207-202209,No
9191-MYQKX,Female,0.302325051,7,2,Facebook,Bank transfer (automatic),133.0671989,202207-202209,Yes
9919-YLNNG,Female,0.569656104,42,2,Facebook,Bank transfer (automatic),96.33911368,202207-202209,No
0318-ZOPWS,Female,0.976129511,49,2,Instagram,Bank transfer (automatic),496.2779156,202207-202209,No
4445-ZJNMU,Male,0.48784023,9,4,Facebook,Credit card (automatic),100.7049345,202207-202209,No
4808-YNLEU,Female,0.402707552,35,2,GoogleAds,Bank transfer (automatic),160.9010459,202207-202209,No
1862-QRWPE,Female,0.357667815,48,2,Instagram,Bank transfer (automatic),484.2615012,202207-202209,No
2796-NNUFI,Female,0.119242407,46,2,Instagram,Mailed check,501.2531328,202207-202209,No
3016-KSVCP,Male,0.390949967,29,1,Facebook,Mailed check,296.2962963,202207-202209,No
4767-HZZHQ,Male,0.181587385,30,2,Facebook,Bank transfer (automatic),121.8769043,202207-202209,No
2424-WVHPL,Male,0.123091524,1,2,Facebook,Electronic check,133.8688086,202207-202209,No
7233-PAHHL,Male,0.605014538,66,4,Instagram,Mailed check,119.047619,202207-202209,No
6067-NGCEU,Female,0.06334365,65,4,Facebook,Credit card (automatic),90.04952724,202207-202209,No
9848-JQJTX,Male,0.80076904,72,4,Instagram,Bank transfer (automatic),99.10802775,202207-202209,No
8637-XJIVR,Female,0.102550989,12,4,Facebook,Electronic check,126.6624446,202207-202209,Yes
9803-FTJCG,Male,0.974835378,71,4,GoogleAds,Credit card (automatic),149.5886313,202207-202209,No
0278-YXOOG,Male,0.570105648,5,2,Facebook,Mailed check,475.0593824,202207-202209,Yes
3212-KXOCR,Male,0.424471171,52,2,Instagram,Bank transfer (automatic),476.1904762,202207-202209,No
4598-XLKNJ,Female,0.466815229,25,2,Facebook,Electronic check,101.5228426,202207-202209,Yes
6380-ARCEH,Male,0.964690919,1,2,Facebook,Mailed check,495.049505,202207-202209,No
3679-XASPY,Female,0.379729203,1,2,Facebook,Electronic check,514.1388175,202207-202209,No
7123-WQUHX,Male,0.227793417,38,4,GoogleAds,Bank transfer (automatic),105.2631579,202207-202209,No
5386-THSLQ,Female,0.803840255,66,1,GoogleAds,Bank transfer (automatic),219.5389682,202207-202209,No
3192-NQECA,Male,0.128614523,68,4,Instagram,Bank transfer (automatic),90.90909091,202207-202209,Yes
6180-YBIQI,Male,0.340852394,5,1,Facebook,Mailed check,411.5226337,202207-202209,No
6728-DKUCO,Female,0.50405384,72,4,GoogleAds,Electronic check,96.01536246,202207-202209,No
9750-BOOHV,Female,0.464897931,32,1,GoogleAds,Mailed check,331.6749585,202207-202209,No
8597-CWYHH,Male,0.864792151,43,4,GoogleAds,Mailed check,105.9883413,202207-202209,No
2848-YXSMW,Male,0.205711536,72,2,Instagram,Credit card (automatic),515.4639175,202207-202209,No
0486-HECZI,Male,0.141895765,55,4,Facebook,Electronic check,103.3591731,202207-202209,Yes
4549-ZDQYY,Female,0.420384404,52,2,GoogleAds,Credit card (automatic),172.5625539,202207-202209,No
5712-AHQNN,Female,0.616251344,43,2,Facebook,Electronic check,109.1107474,202207-202209,No
4846-WHAFZ,Female,0.670425442,37,4,Facebook,Electronic check,130.7189542,202207-202209,Yes
5256-SKJGO,Female,0.571883477,64,1,Instagram,Electronic check,183.1501832,202207-202209,No
3071-VBYPO,Male,0.079426758,3,2,Facebook,Electronic check,111.2966055,202207-202209,No
9560-BBZXK,Female,0.316863849,36,1,Instagram,Bank transfer (automatic),322.0611916,202207-202209,No
5299-RULOA,Female,0.674894258,10,4,Facebook,Electronic check,99.75062344,202207-202209,Yes
8402-OOOHJ,Female,0.599387765,41,2,Instagram,Mailed check,484.2615012,202207-202209,No
9445-ZUEQE,Male,0.485392851,27,4,Facebook,Credit card (automatic),117.370892,202207-202209,No
1091-SOZGA,Female,0.656875314,56,4,GoogleAds,Credit card (automatic),100.2004008,202207-202209,No
2928-HLDBA,Female,0.614607082,6,2,Facebook,Mailed check,483.0917874,202207-202209,No
0404-SWRVG,Male,0.984506525,3,4,Facebook,Electronic check,134.4086022,202207-202209,Yes
6497-TILVL,Female,0.43974314,7,2,Facebook,Mailed check,197.2386588,202207-202209,No
7219-TLZHO,Female,0.371028373,4,2,Facebook,Mailed check,479.616307,202207-202209,No
4622-YNKIJ,Male,0.51378062,33,2,Instagram,Electronic check,112.4227094,202207-202209,No
4412-YLTKF,Female,0.048356368,27,4,Facebook,Electronic check,128.1229981,202207-202209,Yes
6734-PSBAW,Male,0.69434821,72,4,Instagram,Bank transfer (automatic),424.6284501,202207-202209,No
3930-ZGWVE,Male,0.273170379,1,2,Facebook,Mailed check,506.3291139,202207-202209,No
2639-UGMAZ,Male,0.84356255,71,1,GoogleAds,Electronic check,177.1479185,202207-202209,No
2876-GZYZC,Female,0.638410579,13,4,Facebook,Electronic check,116.3467132,202207-202209,No
6207-WIOLX,Female,0.459612102,25,1,Facebook,Credit card (automatic),170.6484642,202207-202209,Yes
8587-XYZSF,Male,0.72169392,67,2,Instagram,Bank transfer (automatic),197.8239367,202207-202209,No
3091-FYHKI,Male,0.052527563,1,1,Facebook,Electronic check,282.0874471,202207-202209,Yes
2372-HWUHI,Male,0.450745198,2,2,Facebook,Electronic check,225.4791432,202207-202209,Yes
7799-LGRDP,Female,0.708770916,43,4,Instagram,Credit card (automatic),389.1050584,202207-202209,No
7850-VWJUU,Female,0.866248029,23,2,Facebook,Bank transfer (automatic),133.3333333,202207-202209,No
3774-VBNXY,Female,0.331562057,64,2,Instagram,Mailed check,495.049505,202207-202209,No
6217-KDYWC,Male,0.991387708,57,2,Instagram,Mailed check,510.2040816,202207-202209,No
0390-DCFDQ,Female,0.546420159,1,2,Facebook,Mailed check,141.9446416,202207-202209,Yes
3146-MSEGF,Female,0.672185344,72,4,Instagram,Credit card (automatic),113.5718342,202207-202209,No
